"Current time"	2018/04/17 17:43:42
#0000107	2018/04/19 23:00:25	18.49	 1.34521	0.084730	-0.826607	 5.74	15.34	14.623	 4.922	8.151483	8.706922	 0.0000	 1.1158	4835	496	347.839	109.800	14.729	  14.7271	  4.10501	  33.5366
#0000108	2018/04/19 23:30:25	18.48	 1.34058	0.085266	-0.826023	 5.74	15.49	14.746	 4.878	8.159769	8.715688	 0.0000	 1.1108	4835	496	356.025	112.729	14.871	  14.8625	  4.11626	  33.5223
#0000109	2018/04/20 00:00:25	18.48	 1.33298	0.085020	-0.826147	 5.74	15.70	14.947	 4.856	8.153634	8.711126	 0.0000	 1.1058	4835	496	354.353	112.762	15.102	  15.1231	  4.14107	  33.5234
#0000110	2018/04/20 00:30:25	18.48	 1.32909	0.084912	-0.826183	 5.74	16.08	15.050	 4.792	8.150822	8.709260	 0.0000	 1.1018	4835	496	352.734	112.435	15.179	  15.1749	  4.14648	  33.5280
#0000111	2018/04/20 01:01:26	18.47	 1.32635	0.084909	-0.826123	 5.73	16.22	15.123	 4.798	8.150111	8.709460	 0.0000	 1.1024	4835	496	351.399	112.139	15.233	  15.2315	  4.15127	  33.5227
#0000112	2018/04/20 01:32:00	18.47	 1.32565	0.084818	-0.826178	 5.74	16.23	15.141	 4.788	8.148344	8.708266	 0.0000	 1.1000	4835	496	350.758	111.935	15.233	  15.2358	  4.15092	  33.5159
#0000113	2018/04/20 02:03:16	18.47	 1.32503	0.084746	-0.826243	 5.73	16.28	15.158	 4.803	8.146948	8.706942	 0.0000	 1.0977	4835	496	349.805	111.666	15.248	  15.2224	  4.15129	  33.5307
#0000114	2018/04/20 02:34:02	18.46	 1.33209	0.083643	-0.827455	 5.74	16.24	14.970	 4.878	8.129337	8.687964	 0.0000	 1.0990	4835	496	341.053	108.243	14.979	  14.9310	  4.11776	  33.4771
#0000115	2018/04/20 03:00:25	18.46	 1.32989	0.084201	-0.826880	 5.74	15.57	15.029	 4.918	8.138577	8.697340	 0.0000	 1.1045	4835	496	344.559	109.643	15.100	  15.0847	  4.13249	  33.4788
#0000116	2018/04/20 03:30:25	18.46	 1.32463	0.084942	-0.826076	 5.74	15.58	15.168	 4.996	8.150266	8.709736	 0.0000	 1.1032	4835	496	350.726	112.092	15.303	  15.3138	  4.15957	  33.5271
